Audit_ID,File_Name,Detected_Class,Localized_Rationales,Critical_Binding_Correct,Control_Free_Of_Critical_Evidence,Semantic_Label_Unchanged,Notes
1,01a42c06-6c608165_1.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
2,01b4e4b9-e21fe0a3.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
3,027b216c-bfae3d6d_1.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
4,072f9d2d-ebc9b075_3.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
5,073873be-32a8b6b8_1.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
6,07398e6d-7b0dc522_1.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
7,0d9d0baa-4466d391.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
8,0db59ab7-6c52a4dd.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
9,0e4acdbb-2403b10e_3.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
10,0ff8c597-f1144a0f_3.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
11,104cdad2-5c21871a_1.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
12,1481f91e-87571020_1.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
13,1481f91e-87571020_3.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
14,156c2189-98a8400a_3.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
15,15905cba-a6317cf8_1.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
16,15905cba-a6317cf8_3.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
17,1608cfe7-113afa74_1.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
18,1650cf99-18dd6d83_3.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
19,167f11ee-0e320693_3.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
20,19906a63-c30a0848.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
21,1b4c521b-6132391c.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
22,1d5d5507-4d202189.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
23,1e82c7e7-d2744df9_1.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
24,1f13b7b2-4c1b6a58.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
25,1f864b3f-44e20190.jpg,traffic light,red_light,no,yes,yes,"state/binding failure: amber or wrong signal head, illuminated sign false detection, or unidentifiable red blob"
26,20c37f6a-36f84788.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
27,29b6a36b-89b15565_1.jpg,traffic light,red_light,no,yes,yes,"state/binding failure: amber or wrong signal head, illuminated sign false detection, or unidentifiable red blob"
28,2b03324c-3e7a69e0_1.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
29,2c919e7c-afd0b234.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
30,2d6b9723-eccc952b_3.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
31,2e598e8d-21a7e13f_1.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
32,2fc9ad1e-439351d7.jpg,traffic light,red_light,no,yes,yes,"state/binding failure: amber or wrong signal head, illuminated sign false detection, or unidentifiable red blob"
33,2fd60f5d-44559e40_3.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
34,32654172-8c1f23e8.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
35,3682f59f-54361188.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
36,37748d46-9b6ac435_1.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
37,38221483-6398bc14.jpg,traffic light,red_light,no,yes,yes,"state/binding failure: amber or wrong signal head, illuminated sign false detection, or unidentifiable red blob"
38,3870ae33-25a15dba.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
39,3b630e54-d48ddc50.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
40,3d7caf85-b229e6b0_1.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
41,3ecfa629-5cf421fe.jpg,traffic light,red_light,no,yes,yes,"state/binding failure: amber or wrong signal head, illuminated sign false detection, or unidentifiable red blob"
42,3eda591c-c6e599bf_1.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
43,4af36dc3-bc007ba0.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
44,4b788c3d-2c555465_1.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
45,50e18e8b-633e4bb2.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
46,50e18e8b-d8de558b_1.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
47,5267fe63-2067e703.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
48,5503a6e2-c7437838_3.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
49,551e5e34-b7bfc47e_1.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
