seed,axis,model,q,metric,estimate,gate_component,expected_direction
43,A,action_only,0.0,macro_f1,0.6688743764074188,True,decreasing
43,A,action_only,0.0,micro_f1,0.7060679959833597,False,diagnostic_only
43,A,action_only,0.0,per_class_f1::Forward,0.8052702964541756,False,diagnostic_only
43,A,action_only,0.0,per_class_f1::Stop,0.7457627118644068,False,diagnostic_only
43,A,action_only,0.0,per_class_f1::Left,0.5471698113207547,False,diagnostic_only
43,A,action_only,0.0,per_class_f1::Right,0.5772946859903382,False,diagnostic_only
43,A,joint,0.0,macro_f1,0.6891555466668658,True,decreasing
43,A,joint,0.0,micro_f1,0.7202317857395237,False,diagnostic_only
43,A,joint,0.0,per_class_f1::Forward,0.8076699593259733,False,diagnostic_only
43,A,joint,0.0,per_class_f1::Stop,0.7603833865814696,False,diagnostic_only
43,A,joint,0.0,per_class_f1::Left,0.5779697624190064,False,diagnostic_only
43,A,joint,0.0,per_class_f1::Right,0.6105990783410138,False,diagnostic_only
43,R,joint,0.0,macro_f1,0.28431101754148225,True,decreasing
43,R,joint,0.0,micro_f1,0.5202539960586818,False,diagnostic_only
43,R,joint,0.0,per_class_f1::green_light,0.6458961474036851,False,diagnostic_only
43,R,joint,0.0,per_class_f1::follow,0.5051792828685259,False,diagnostic_only
43,R,joint,0.0,per_class_f1::road_clear,0.39372138652714195,False,diagnostic_only
43,R,joint,0.0,per_class_f1::red_light,0.6126418152350082,False,diagnostic_only
43,R,joint,0.0,per_class_f1::traffic_sign,0.48123620309050774,False,diagnostic_only
43,R,joint,0.0,per_class_f1::car,0.0,False,diagnostic_only
43,R,joint,0.0,per_class_f1::person,0.0,False,diagnostic_only
43,R,joint,0.0,per_class_f1::rider,0.7474120082815735,False,diagnostic_only
43,R,joint,0.0,per_class_f1::other_obstacle,0.0,False,diagnostic_only
43,R,joint,0.0,per_class_f1::left_lane,0.0,False,diagnostic_only
43,R,joint,0.0,per_class_f1::left_green_light,0.0,False,diagnostic_only
43,R,joint,0.0,per_class_f1::left_follow,0.0,False,diagnostic_only
43,R,joint,0.0,per_class_f1::no_left_lane,0.0,False,diagnostic_only
