seed,metric,estimate
43,action_flip_rate_blur::Action-Only,0.11367127496159754
43,action_flip_rate_blur::Joint Action-Rationale,0.130348913759052
43,action_flip_rate_brightness::Action-Only,0.09940750493745885
43,action_flip_rate_brightness::Joint Action-Rationale,0.10226025894228659
43,action_flip_rate_mean_three::Action-Only,0.11367127496159754
43,action_flip_rate_mean_three::Joint Action-Rationale,0.11871845512398507
43,action_flip_rate_noise::Action-Only,0.12793504498573624
43,action_flip_rate_noise::Joint Action-Rationale,0.12354619267061663
43,action_macro_f1::Action-Only,0.6688743764074188
43,action_macro_f1::Joint Action-Rationale,0.6891555466668658
43,action_micro_f1::Action-Only,0.7060679959833597
43,action_micro_f1::Joint Action-Rationale,0.7202317857395237
43,advantage_action_flip_rate_blur::Action-Joint,-0.016677638797454458
43,advantage_action_flip_rate_brightness::Action-Joint,-0.0028527540048277344
43,advantage_action_flip_rate_mean_three::Action-Joint,-0.005047180162387532
43,advantage_action_flip_rate_noise::Action-Joint,0.00438885231511961
43,aurc::Action-Only,0.3734892826339159
43,aurc::Joint Action-Rationale,0.3580176254209994
43,delta_action_macro_f1::Joint-Action,0.02028117025944709
43,delta_aurc::Joint-Action,-0.01547165721291649
43,delta_ece_calibrated::Joint-Action,0.0002962531634347898
43,delta_ece_uncalibrated::Joint-Action,-0.009579017369832687
43,delta_unsafe_acceptance_rate_90::Joint-Action,-0.015114578254510014
43,ece_calibrated::Action-Only,0.3282950660194483
43,ece_calibrated::Joint Action-Rationale,0.3285913191828831
43,ece_uncalibrated::Action-Only,0.4581962777023566
43,ece_uncalibrated::Joint Action-Rationale,0.4486172603325239
43,rationale_jaccard_blur_empty_empty_fraction::Joint Action-Rationale,0.10050471801623875
43,rationale_jaccard_blur_unconditional::Joint Action-Rationale,0.902966132689635
43,rationale_jaccard_blur_union_nonempty_conditional::Joint Action-Rationale,0.8921240953077987
43,rationale_jaccard_brightness_empty_empty_fraction::Joint Action-Rationale,0.10577134079438227
43,rationale_jaccard_brightness_unconditional::Joint Action-Rationale,0.9264976958525344
43,rationale_jaccard_brightness_union_nonempty_conditional::Joint Action-Rationale,0.9178036809815951
43,rationale_jaccard_mean_three::Joint Action-Rationale,0.9108246165849851
43,rationale_jaccard_noise_empty_empty_fraction::Joint Action-Rationale,0.09984639016897082
43,rationale_jaccard_noise_unconditional::Joint Action-Rationale,0.9030100212127862
43,rationale_jaccard_noise_union_nonempty_conditional::Joint Action-Rationale,0.8922517471152284
43,rationale_macro_f1::Joint Action-Rationale,0.28431101754148225
43,rationale_micro_f1::Joint Action-Rationale,0.5202539960586818
43,unsafe_acceptance_rate_90::Action-Only,0.49658703071672355
43,unsafe_acceptance_rate_90::Joint Action-Rationale,0.48147245246221354
44,action_flip_rate_blur::Action-Only,0.12705727452271232
44,action_flip_rate_blur::Joint Action-Rationale,0.130568356374808
44,action_flip_rate_brightness::Action-Only,0.09765196401141102
44,action_flip_rate_brightness::Joint Action-Rationale,0.10445468509984639
44,action_flip_rate_mean_three::Action-Only,0.1184990125082291
44,action_flip_rate_mean_three::Joint Action-Rationale,0.11454904542462147
44,action_flip_rate_noise::Action-Only,0.13078779899056397
44,action_flip_rate_noise::Joint Action-Rationale,0.10862409479921001
44,action_macro_f1::Action-Only,0.6683865626209756
44,action_macro_f1::Joint Action-Rationale,0.6938817136532921
44,action_micro_f1::Action-Only,0.7072691552062869
44,action_micro_f1::Joint Action-Rationale,0.7224265981814396
44,advantage_action_flip_rate_blur::Action-Joint,-0.003511081852095671
44,advantage_action_flip_rate_brightness::Action-Joint,-0.006802721088435368
44,advantage_action_flip_rate_mean_three::Action-Joint,0.003949967083607633
44,advantage_action_flip_rate_noise::Action-Joint,0.022163704191353967
44,aurc::Action-Only,0.39995108947180996
44,aurc::Joint Action-Rationale,0.3918369113040415
44,delta_action_macro_f1::Joint-Action,0.025495151032316477
44,delta_aurc::Joint-Action,-0.008114178167768438
44,delta_ece_calibrated::Joint-Action,0.018920433781779822
44,delta_ece_uncalibrated::Joint-Action,-0.012545111364448025
44,delta_unsafe_acceptance_rate_90::Joint-Action,0.0007313505607021153
44,ece_calibrated::Action-Only,0.3280800593920099
44,ece_calibrated::Joint Action-Rationale,0.3470004931737897
44,ece_uncalibrated::Action-Only,0.46576813363420144
44,ece_uncalibrated::Joint Action-Rationale,0.4532230222697534
44,rationale_jaccard_blur_empty_empty_fraction::Joint Action-Rationale,0.10555189817862629
44,rationale_jaccard_blur_unconditional::Joint Action-Rationale,0.9024943310657597
44,rationale_jaccard_blur_union_nonempty_conditional::Joint Action-Rationale,0.8909878966306837
44,rationale_jaccard_brightness_empty_empty_fraction::Joint Action-Rationale,0.10730743910467412
44,rationale_jaccard_brightness_unconditional::Joint Action-Rationale,0.9244934532952965
44,rationale_jaccard_brightness_union_nonempty_conditional::Joint Action-Rationale,0.9154170763684037
44,rationale_jaccard_mean_three::Joint Action-Rationale,0.9130909711554874
44,rationale_jaccard_noise_empty_empty_fraction::Joint Action-Rationale,0.10577134079438227
44,rationale_jaccard_noise_unconditional::Joint Action-Rationale,0.9122851291054057
44,rationale_jaccard_noise_union_nonempty_conditional::Joint Action-Rationale,0.9019100204498977
44,rationale_macro_f1::Joint Action-Rationale,0.2769215576808766
44,rationale_micro_f1::Joint Action-Rationale,0.5154480483782298
44,unsafe_acceptance_rate_90::Action-Only,0.4900048756704047
44,unsafe_acceptance_rate_90::Joint Action-Rationale,0.4907362262311068
45,action_flip_rate_blur::Action-Only,0.13276278253236778
45,action_flip_rate_blur::Joint Action-Rationale,0.11718235681369323
45,action_flip_rate_brightness::Action-Only,0.10730743910467412
45,action_flip_rate_brightness::Joint Action-Rationale,0.07746324336186088
45,action_flip_rate_mean_three::Action-Only,0.1261795040596884
45,action_flip_rate_mean_three::Joint Action-Rationale,0.09867602955160558
45,action_flip_rate_noise::Action-Only,0.13846829054202325
45,action_flip_rate_noise::Joint Action-Rationale,0.10138248847926268
45,action_macro_f1::Action-Only,0.6679932568471639
45,action_macro_f1::Joint Action-Rationale,0.6835912836700506
45,action_micro_f1::Action-Only,0.7055188272492096
45,action_micro_f1::Joint Action-Rationale,0.7143562610229277
45,advantage_action_flip_rate_blur::Action-Joint,0.01558042571867456
45,advantage_action_flip_rate_brightness::Action-Joint,0.029844195742813245
45,advantage_action_flip_rate_mean_three::Action-Joint,0.027503474508082812
