seed,axis,model,control,metric,estimate
43,A,Action-Only,perfect,macro_f1,1.0
43,A,Action-Only,perfect,micro_f1,1.0
43,A,Action-Only,original,macro_f1,0.6688743764074188
43,A,Action-Only,original,micro_f1,0.7060679959833597
43,A,Action-Only,row_destroyed,macro_f1,0.36752765381044966
43,A,Action-Only,row_destroyed,micro_f1,0.41127528331659735
43,A,Action-Only,class_destroyed,macro_f1,0.3162294053971378
43,A,Action-Only,class_destroyed,micro_f1,0.31286759431932293
43,A,Action-Only,row_and_class_destroyed,macro_f1,0.3601003696220352
43,A,Action-Only,row_and_class_destroyed,micro_f1,0.38688853822980923
43,A,Joint Action-Rationale,perfect,macro_f1,1.0
43,A,Joint Action-Rationale,perfect,micro_f1,1.0
43,A,Joint Action-Rationale,original,macro_f1,0.6891555466668658
43,A,Joint Action-Rationale,original,micro_f1,0.7202317857395237
43,A,Joint Action-Rationale,row_destroyed,macro_f1,0.3767748616255445
43,A,Joint Action-Rationale,row_destroyed,micro_f1,0.41353967917461665
43,A,Joint Action-Rationale,class_destroyed,macro_f1,0.3293465393724249
43,A,Joint Action-Rationale,class_destroyed,micro_f1,0.32577203024521234
43,A,Joint Action-Rationale,row_and_class_destroyed,macro_f1,0.37264960120167423
43,A,Joint Action-Rationale,row_and_class_destroyed,micro_f1,0.39728641085435656
43,R,Joint Action-Rationale,perfect,macro_f1,1.0
43,R,Joint Action-Rationale,perfect,micro_f1,1.0
43,R,Joint Action-Rationale,original,macro_f1,0.28431101754148225
43,R,Joint Action-Rationale,original,micro_f1,0.5202539960586818
43,R,Joint Action-Rationale,row_destroyed,macro_f1,0.0792408202127117
43,R,Joint Action-Rationale,row_destroyed,micro_f1,0.1627983358878914
43,R,Joint Action-Rationale,class_destroyed,macro_f1,0.02812025571540005
43,R,Joint Action-Rationale,class_destroyed,micro_f1,0.042150208014013577
43,R,Joint Action-Rationale,row_and_class_destroyed,macro_f1,0.044199071087277934
43,R,Joint Action-Rationale,row_and_class_destroyed,micro_f1,0.07663674184366105
43,S,Action-Only,oracle,aurc,0.17105245837758723
43,S,Action-Only,oracle,unsafe_acceptance_rate_90,0.47172111165285224
43,S,Action-Only,oracle,ece,0.12528576668992106
43,S,Action-Only,oracle,correctness_auroc,1.0
43,S,Action-Only,oracle,exact_set_error_rate,0.5244678516567918
43,S,Action-Only,original,aurc,0.3734892826339159
43,S,Action-Only,original,unsafe_acceptance_rate_90,0.49658703071672355
43,S,Action-Only,original,ece,0.3282950660194483
43,S,Action-Only,original,correctness_auroc,0.6808949572611617
43,S,Action-Only,original,exact_set_error_rate,0.5244678516567918
43,S,Action-Only,random,aurc,0.5269693951493615
43,S,Action-Only,random,unsafe_acceptance_rate_90,0.522428083861531
43,S,Action-Only,random,ece,0.2490590843944704
43,S,Action-Only,random,correctness_auroc,0.4977088816075287
43,S,Action-Only,random,exact_set_error_rate,0.5244678516567918
43,S,Action-Only,adversarial,aurc,0.862892099835648
43,S,Action-Only,adversarial,unsafe_acceptance_rate_90,0.5826426133593369
43,S,Action-Only,adversarial,ece,0.875285766689921
43,S,Action-Only,adversarial,correctness_auroc,0.0
43,S,Action-Only,adversarial,exact_set_error_rate,0.5244678516567918
43,S,Joint Action-Rationale,oracle,aurc,0.16081685710593674
43,S,Joint Action-Rationale,oracle,unsafe_acceptance_rate_90,0.4561189663578742
43,S,Joint Action-Rationale,oracle,ece,0.12663315205716377
43,S,Joint Action-Rationale,oracle,correctness_auroc,1.0
43,S,Joint Action-Rationale,oracle,exact_set_error_rate,0.5104235242484091
43,S,Joint Action-Rationale,original,aurc,0.3580176254209994
43,S,Joint Action-Rationale,original,unsafe_acceptance_rate_90,0.48147245246221354
43,S,Joint Action-Rationale,original,ece,0.3285913191828831
43,S,Joint Action-Rationale,original,correctness_auroc,0.6920750096448349
43,S,Joint Action-Rationale,original,exact_set_error_rate,0.5104235242484091
43,S,Joint Action-Rationale,random,aurc,0.5244423708631925
43,S,Joint Action-Rationale,random,unsafe_acceptance_rate_90,0.5102389078498294
43,S,Joint Action-Rationale,random,ece,0.2584951168719775
43,S,Joint Action-Rationale,random,correctness_auroc,0.4869319712501055
43,S,Joint Action-Rationale,random,exact_set_error_rate,0.5104235242484091
43,S,Joint Action-Rationale,adversarial,aurc,0.853637012945775
43,S,Joint Action-Rationale,adversarial,unsafe_acceptance_rate_90,0.5670404680643588
43,S,Joint Action-Rationale,adversarial,ece,0.8766331520571637
43,S,Joint Action-Rationale,adversarial,correctness_auroc,0.0
43,S,Joint Action-Rationale,adversarial,exact_set_error_rate,0.5104235242484091
43,C1_action,Action-Only,identity,self,0.0
43,C1_action,Action-Only,correct,brightness,0.09940750493745885
43,C1_action,Action-Only,correct,blur,0.11367127496159754
43,C1_action,Action-Only,correct,noise,0.12793504498573624
43,C1_action,Action-Only,correct,mean_three,0.11367127496159753
43,C1_action,Action-Only,wrong,brightness,0.7886767610269915
43,C1_action,Action-Only,wrong,blur,0.7875795479482115
43,C1_action,Action-Only,wrong,noise,0.7794601711652402
43,C1_action,Action-Only,wrong,mean_three,0.785238826713481
43,C1_action,Joint Action-Rationale,identity,self,0.0
43,C1_action,Joint Action-Rationale,correct,brightness,0.10226025894228659
43,C1_action,Joint Action-Rationale,correct,blur,0.130348913759052
43,C1_action,Joint Action-Rationale,correct,noise,0.12354619267061663
43,C1_action,Joint Action-Rationale,correct,mean_three,0.11871845512398506
43,C1_action,Joint Action-Rationale,wrong,brightness,0.8009655475093264
43,C1_action,Joint Action-Rationale,wrong,blur,0.8009655475093264
43,C1_action,Joint Action-Rationale,wrong,noise,0.793504498573623
43,C1_action,Joint Action-Rationale,wrong,mean_three,0.7984785311974253
43,C1_rationale,Joint Action-Rationale,identity,self,1.0
43,C1_rationale,Joint Action-Rationale,correct,brightness,0.9264976958525344
43,C1_rationale,Joint Action-Rationale,correct,blur,0.902966132689635
43,C1_rationale,Joint Action-Rationale,correct,noise,0.9030100212127862
43,C1_rationale,Joint Action-Rationale,correct,mean_three,0.9108246165849851
43,C1_rationale,Joint Action-Rationale,wrong,brightness,0.12658181552190767
43,C1_rationale,Joint Action-Rationale,wrong,blur,0.12379489430180672
43,C1_rationale,Joint Action-Rationale,wrong,noise,0.12559798112793502
43,C1_rationale,Joint Action-Rationale,wrong,mean_three,0.12532489698388313
44,A,Action-Only,perfect,macro_f1,1.0
44,A,Action-Only,perfect,micro_f1,1.0
44,A,Action-Only,original,macro_f1,0.6683865626209756
44,A,Action-Only,original,micro_f1,0.7072691552062869
44,A,Action-Only,row_destroyed,macro_f1,0.3599554391958562
44,A,Action-Only,row_destroyed,micro_f1,0.40762570035654516
44,A,Action-Only,class_destroyed,macro_f1,0.31185964345779477
44,A,Action-Only,class_destroyed,micro_f1,0.31012151640835334
44,A,Action-Only,row_and_class_destroyed,macro_f1,0.3500340578657951
44,A,Action-Only,row_and_class_destroyed,micro_f1,0.3812850178272575
44,A,Joint Action-Rationale,perfect,macro_f1,1.0
44,A,Joint Action-Rationale,perfect,micro_f1,1.0
44,A,Joint Action-Rationale,original,macro_f1,0.6938817136532921
44,A,Joint Action-Rationale,original,micro_f1,0.7224265981814396
44,A,Joint Action-Rationale,row_destroyed,macro_f1,0.37464389563962086
44,A,Joint Action-Rationale,row_destroyed,micro_f1,0.41243839800097176
44,A,Joint Action-Rationale,class_destroyed,macro_f1,0.34524811053967436
44,A,Joint Action-Rationale,class_destroyed,micro_f1,0.3455264801832443
44,A,Joint Action-Rationale,row_and_class_destroyed,macro_f1,0.37778054290777563
44,A,Joint Action-Rationale,row_and_class_destroyed,micro_f1,0.40327618518775593
44,R,Joint Action-Rationale,perfect,macro_f1,1.0
44,R,Joint Action-Rationale,perfect,micro_f1,1.0
44,R,Joint Action-Rationale,original,macro_f1,0.2769215576808766
44,R,Joint Action-Rationale,original,micro_f1,0.5154480483782298
44,R,Joint Action-Rationale,row_destroyed,macro_f1,0.07815702680644457
44,R,Joint Action-Rationale,row_destroyed,micro_f1,0.1667949422759758
44,R,Joint Action-Rationale,class_destroyed,macro_f1,0.029837255365191467
44,R,Joint Action-Rationale,class_destroyed,micro_f1,0.04332050577240242
44,R,Joint Action-Rationale,row_and_class_destroyed,macro_f1,0.044322624949018646
44,R,Joint Action-Rationale,row_and_class_destroyed,micro_f1,0.08246289169873557
44,S,Action-Only,oracle,aurc,0.1713789416335716
44,S,Action-Only,oracle,unsafe_acceptance_rate_90,0.47220867869332034
44,S,Action-Only,oracle,ece,0.12622191389796167
44,S,Action-Only,oracle,correctness_auroc,1.0
44,S,Action-Only,oracle,exact_set_error_rate,0.5249067368883037
44,S,Action-Only,original,aurc,0.39995108947180996
44,S,Action-Only,original,unsafe_acceptance_rate_90,0.4900048756704047
44,S,Action-Only,original,ece,0.3280800593920099
44,S,Action-Only,original,correctness_auroc,0.6701972317270037
44,S,Action-Only,original,exact_set_error_rate,0.5249067368883037
44,S,Action-Only,random,aurc,0.5353179582599528
44,S,Action-Only,random,unsafe_acceptance_rate_90,0.5234032179424671
44,S,Action-Only,random,ece,0.25608124809866173
44,S,Action-Only,random,correctness_auroc,0.4902025226505596
44,S,Action-Only,random,exact_set_error_rate,0.5249067368883037
44,S,Action-Only,adversarial,aurc,0.863175208264736
44,S,Action-Only,adversarial,unsafe_acceptance_rate_90,0.583130180399805
44,S,Action-Only,adversarial,ece,0.8762219138979616
44,S,Action-Only,adversarial,correctness_auroc,0.0
44,S,Action-Only,adversarial,exact_set_error_rate,0.5249067368883037
44,S,Joint Action-Rationale,oracle,aurc,0.16829366751457592
44,S,Joint Action-Rationale,oracle,unsafe_acceptance_rate_90,0.46757679180887374
44,S,Joint Action-Rationale,oracle,ece,0.12675542051196984
44,S,Joint Action-Rationale,oracle,correctness_auroc,1.0
44,S,Joint Action-Rationale,oracle,exact_set_error_rate,0.5207373271889401
44,S,Joint Action-Rationale,original,aurc,0.3918369113040415
44,S,Joint Action-Rationale,original,unsafe_acceptance_rate_90,0.4907362262311068
44,S,Joint Action-Rationale,original,ece,0.3470004931737897
44,S,Joint Action-Rationale,original,correctness_auroc,0.6663743441556337
44,S,Joint Action-Rationale,original,exact_set_error_rate,0.5207373271889401
44,S,Joint Action-Rationale,random,aurc,0.5279560261423244
44,S,Joint Action-Rationale,random,unsafe_acceptance_rate_90,0.522915650901999
44,S,Joint Action-Rationale,random,ece,0.26376173965012095
44,S,Joint Action-Rationale,random,correctness_auroc,0.4859355246523388
44,S,Joint Action-Rationale,random,exact_set_error_rate,0.5207373271889401
44,S,Joint Action-Rationale,adversarial,aurc,0.8604708186099075
44,S,Joint Action-Rationale,adversarial,unsafe_acceptance_rate_90,0.5784982935153583
44,S,Joint Action-Rationale,adversarial,ece,0.8767554205119699
44,S,Joint Action-Rationale,adversarial,correctness_auroc,0.0
44,S,Joint Action-Rationale,adversarial,exact_set_error_rate,0.5207373271889401
44,C1_action,Action-Only,identity,self,0.0
44,C1_action,Action-Only,correct,brightness,0.09765196401141102
44,C1_action,Action-Only,correct,blur,0.12705727452271232
44,C1_action,Action-Only,correct,noise,0.13078779899056397
44,C1_action,Action-Only,correct,mean_three,0.1184990125082291
