threshold,model,action_macro_f1,rationale_macro_f1,aurc,unsafe_acceptance_rate_90,ece,exact_set_error_rate,mean_action_flip_rate,mean_rationale_jaccard
0.3,Action-Only,0.6860000070917394,,0.4083375184681967,0.5236470014627012,0.5062978686111204,0.5617730963353084,0.14944042132982227,
0.3,Joint Action-Rationale,0.7001451947621071,0.34519204430230566,0.3976998514248356,0.5070697220867869,0.4908744972893627,0.54421768707483,0.13532294638285422,0.9082971949660562
0.3,Joint-Calibrated,0.6984890871366496,0.34519204430230566,0.45167680404419247,0.6043393466601658,0.4639383969160612,0.641211323238973,0.1432228805500695,0.9082971949660562
0.4,Action-Only,0.6816414026450983,,0.39965904419537374,0.507557289127255,0.4858897053458143,0.5413649330700022,0.1380294053105113,
0.4,Joint Action-Rationale,0.6931193057550697,0.32698844959226847,0.39144757793696033,0.4929302779132131,0.4746357437234202,0.5279789335088875,0.12303415990051936,0.9022407529319972
0.4,Joint-Calibrated,0.7037115901327295,0.32698844959226847,0.40158867138698046,0.5207215992198927,0.3814279733918128,0.5587008997147246,0.13890717577353523,0.9022407529319972
0.5,Action-Only,0.6760957628448777,,0.4000262648084986,0.5026816187225743,0.4775508859470871,0.533026113671275,0.12654524175261503,
0.5,Joint Action-Rationale,0.6865757074165373,0.3009910922159824,0.3896950874006301,0.4824475865431497,0.4616886293938175,0.5150318191792846,0.1239850779021286,0.9025089605734767
0.5,Joint-Calibrated,0.6865757074165373,0.3009910922159824,0.3896950874006301,0.4824475865431497,0.3377588928563727,0.5150318191792846,0.1239850779021286,0.9025089605734767
0.6,Action-Only,0.6679634239220893,,0.3996527691384686,0.500243783520234,0.47382036147923545,0.5292955892034233,0.12522858605807916,
0.6,Joint Action-Rationale,0.6798265240042254,0.2661312923702025,0.3871763157558307,0.4756216479765968,0.45708033446294194,0.5104235242484091,0.1152073732718894,0.9036342135420475
0.6,Joint-Calibrated,0.6571677349242102,0.2661312923702025,0.38783598617172726,0.4761092150170648,0.34434217132905215,0.521615097651964,0.10672225879599152,0.9036342135420475
0.7,Action-Only,0.6561077731756257,,0.4072998689080955,0.5024378352023403,0.478209213794355,0.5336844415185429,0.1258869139053471,
0.7,Joint Action-Rationale,0.6647039200495435,0.2269820255480192,0.3892379403086716,0.4765967820575329,0.4621275146253294,0.5154707044107966,0.10869724233779533,0.9025674786043449
0.7,Joint-Calibrated,0.610873404354879,0.2269820255480192,0.4166372290490703,0.5221843003412969,0.39261954679536776,0.5698924731182796,0.10211396386511595,0.9025674786043449
