Audit_ID,File_Name,Detected_Class,Localized_Rationales,Critical_Binding_Correct,Control_Free_Of_Critical_Evidence,Semantic_Label_Unchanged,Notes
1,0a53c48b-86fda2c8_1.jpg,bicycle,rider,yes,yes,yes,manual audit pass
2,0b8b0111-3e546d48_1.jpg,bicycle,rider,yes,yes,yes,manual audit pass
3,0f026efa-e39b024a_3.jpg,bicycle,rider,yes,yes,yes,manual audit pass
4,2f26b25d-3de74369_1.jpg,bicycle,rider,no,yes,yes,detected instance is not credibly action-inducing or is a false detection
5,316fc6f3-a1ee30f7_1.jpg,bicycle,rider,yes,yes,yes,manual audit pass
6,373e20c8-82cb9d82_3.jpg,bicycle,rider,yes,yes,yes,manual audit pass
7,5f0fa199-ed52d1c4_3.jpg,bicycle,rider,yes,yes,yes,manual audit pass
8,d9680852-5cad1d2e.jpg,bicycle,rider,no,yes,yes,detected instance is not credibly action-inducing or is a false detection
9,0ec99587-ca663a13_3.jpg,car,car,yes,yes,yes,manual audit pass
10,124c7772-efeb2f24_3.jpg,car,car,yes,yes,yes,manual audit pass
11,1d981a62-27584b3b_1.jpg,car,car,no,yes,yes,detected instance is not credibly action-inducing or is a false detection
12,1de10d4d-b513a307_1.jpg,car,car,yes,no,yes,control contains another potentially action-relevant object
13,230e05d9-e49f6cf8.jpg,car,car,yes,yes,yes,manual audit pass
14,39fba3aa-43b709f1_1.jpg,car,car,yes,no,yes,control contains another potentially action-relevant object
15,46794278-0f2e6071_3.jpg,car,car,yes,yes,yes,manual audit pass
16,51a4b41b-d48a27b0_1.jpg,car,car,yes,yes,yes,manual audit pass
17,52e44f43-fa926ef1.jpg,car,car,yes,yes,yes,manual audit pass
18,54ba42da-f0ac979d_3.jpg,car,car,yes,yes,yes,manual audit pass
19,73ede6fa-1534ebc3_3.jpg,car,car,no,no,yes,detected instance is not credibly action-inducing or is a false detection; control contains another potentially action-relevant object
20,fdd1e5d3-3b2ec93c.jpg,car,car,yes,no,yes,control contains another potentially action-relevant object
21,3a451ce7-252c8aa2_1.jpg,motorcycle,rider,yes,yes,yes,manual audit pass
22,44299a98-7889dad7_3.jpg,motorcycle,rider,yes,yes,yes,manual audit pass
23,ad49da5f-2b5d9c4f.jpg,motorcycle,rider,no,yes,yes,detected instance is not credibly action-inducing or is a false detection
24,b3853f81-272f6c37_1.jpg,motorcycle,rider,no,yes,yes,detected instance is not credibly action-inducing or is a false detection
25,c6dcb37c-ffd8264e.jpg,motorcycle,rider,no,yes,yes,detected instance is not credibly action-inducing or is a false detection
26,315aa1d5-26d7174c_3.jpg,person,person,no,yes,yes,detected instance is not credibly action-inducing or is a false detection
27,34b2fd3a-cdc2b21a_3.jpg,person,person,no,yes,yes,detected instance is not credibly action-inducing or is a false detection
28,4605075f-f5cc89d3_1.jpg,person,person,no,no,yes,detected instance is not credibly action-inducing or is a false detection; control contains another potentially action-relevant object
29,a913570d-5f7b0271_1.jpg,person,person,yes,no,yes,control contains another potentially action-relevant object
30,b102b649-31129ee6_1.jpg,person,person,no,yes,yes,detected instance is not credibly action-inducing or is a false detection
31,c050a325-3fbdf46f_3.jpg,person,person,no,yes,yes,detected instance is not credibly action-inducing or is a false detection
32,c5b2506d-1c31cee3_3.jpg,person,person,no,yes,yes,detected instance is not credibly action-inducing or is a false detection
33,0252f2b5-1f4c92f2.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
34,0fa64aef-64070758.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
35,1d5d5507-4d202189_3.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
36,1daf360b-d293a801_3.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
37,22c3eb6a-96e57a3d.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
38,23f615c2-c0a3a7f9_3.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
39,247fe4dd-4145941d.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
